Requested on,Nome do fluxo de dados,Status de atualização de fluxo de dados,Nome da tabela,Nome da partição,Atualizar o status,Hora de início,Hora de término,Duração,Linhas processadas,Bytes processados (KB),Confirmação máxima (KB),Tempo do Processador,Tempo de espera,Mecanismo de computação,Erro,
2021-10-03 00:30:01,Base Cigam,Falhou,dLojas,N/D,Concluído,2021-10-03 00:30:01,2021-10-03 00:31:04,00:01:02.3170,N/D,N/D,N/D,N/D,N/D,N/D,N/D
2021-10-03 00:31:04,Base Cigam,Falhou,dClientes,N/D,Concluído,2021-10-03 00:31:04,2021-10-03 00:32:04,00:01:00.6470,N/D,N/D,N/D,N/D,N/D,N/D,N/D
2021-10-03 00:32:04,Base Cigam,Falhou,dProdutos,N/D,Falhou,2021-10-03 00:32:04,2021-10-03 02:05:08,01:33:03.9760,N/D,N/D,N/D,N/D,N/D,N/D,Error: Couldn’t refresh the dataflow because the on-premises data gateway was unreachable. Please verify that it’s online and configured correctly  and try again. Request ID: 84eb3aa8-5817-41a4-8fcd-66ca22f92dd7 Activity ID: dd711d02-a3a4-46ab-b1b9-067f29decca4
