Requested on,Nome do fluxo de dados,Status de atualização de fluxo de dados,Nome da tabela,Nome da partição,Atualizar o status,Hora de início,Hora de término,Duração,Linhas processadas,Bytes processados (KB),Confirmação máxima (KB),Tempo do Processador,Tempo de espera,Mecanismo de computação,Erro,
2021-09-25 01:02:01,Base Cigam,Falhou,dLojas,N/D,Concluído,2021-09-25 01:02:01,2021-09-25 01:03:04,00:01:02.2970,N/D,N/D,N/D,N/D,N/D,N/D,N/D
2021-09-25 01:03:04,Base Cigam,Falhou,dClientes,N/D,Concluído,2021-09-25 01:03:04,2021-09-25 01:03:35,00:00:31.5560,N/D,N/D,N/D,N/D,N/D,N/D,N/D
2021-09-25 01:03:35,Base Cigam,Falhou,dProdutos,N/D,Falhou,2021-09-25 01:03:35,2021-09-25 02:05:08,01:01:33.2100,N/D,N/D,N/D,N/D,N/D,N/D,Error: Couldn’t refresh the dataflow because the on-premises data gateway was unreachable. Please verify that it’s online and configured correctly  and try again. Request ID: 4ccd30d8-4384-47d3-9c97-6e91f166e045 Activity ID: 130483a2-2872-42b0-b5fb-702feabd1852
